Author(s),Title,Publication Date,Source,Page Numbers,Link,Category,Abstract,Countries,heatwave,heat wave,heat  wave,heat  action  plan,heat  health,heat early warning system,heat-health action plan,heat-health warning  systems,extreme heat management,heat wave management,public health heat wave alert
"S Hajat, B Armstrong, M Baccini, A Biggeri, L Bisanti… - Epidemiology, 2006 - JSTOR",Impact of high temperatures on mortality: is there an added heat wave effect?,"S Hajat, B Armstrong, M Baccini, A Biggeri, L Bisanti… - Epidemiology, 2006 - JSTOR","S Hajat, B Armstrong, M Baccini, A Biggeri, L Bisanti… - Epidemiology, 2006 - JSTOR",Save Cite Cited by 523 Related articles All 13 versions  ,https://www.jstor.org/stable/20486291,Academic Journal,"… hot weather using a generalized estimating equations approach. We modeled temperature 
and specific heat wave … an identified threshold, an additional ""heat wave"" effect of 5.5% was …",,0,0,0,0,0,0,0,0,0,0,0
"IJ Dwyer, SJE Barry, I Megiddo, CJ White - International journal of …, 2022 - Springer",Evaluations of heat action plans for reducing the health impacts of extreme heat: methodological developments (2012–2021) and remaining challenges,"IJ Dwyer, SJE Barry, I Megiddo, CJ White - International journal of …, 2022 - Springer","IJ Dwyer, SJE Barry, I Megiddo, CJ White - International journal of …, 2022 - Springer",[HTML] springer.com,https://link.springer.com/article/10.1007/s00484-022-02326-x,Academic Journal,"… In this study, we collated evaluations of heat-health action plans that assessed their 
effectiveness in reducing the adverse health outcomes of hot weather extremes. We examined 11 …","Australia, Canada, Switzerland, China, Spain, France, United Kingdom, Greenland, India, Iran, Italy, Mali, New Zealand, Portugal",1,1,0,0,0,0,1,0,0,0,0
"JJ Hess, S Lm, K Knowlton, S Saha, P Dutta… - … of environmental and …, 2018 - hindawi.com",Building resilience to climate change: pilot evaluation of the impact of India's first heat action plan on all-cause mortality,"JJ Hess, S Lm, K Knowlton, S Saha, P Dutta… - … of environmental and …, 2018 - hindawi.com","JJ Hess, S Lm, K Knowlton, S Saha, P Dutta… - … of environmental and …, 2018 - hindawi.com",[HTML] hindawi.com,https://www.hindawi.com/journals/jeph/2018/7973519/abs/,Academic Journal,"… In low- and middle-income countries, there are very few heat action plans and there is a lack 
of … Our results indicate that that heat action plans may be effective in protecting vulnerable …","Switzerland, Germany, France, Greenland, Hong Kong, India, Italy, United States",1,1,0,0,0,1,1,0,0,0,0
"T Benmarhnia, Z Bailey, D Kaiser… - Environmental …, 2016 - ehp.niehs.nih.gov","A difference-in-differences approach to assess the effect of a heat action plan on heat-related mortality, and differences in effectiveness according to sex, age, and …","T Benmarhnia, Z Bailey, D Kaiser… - Environmental …, 2016 - ehp.niehs.nih.gov","T Benmarhnia, Z Bailey, D Kaiser… - Environmental …, 2016 - ehp.niehs.nih.gov",[PDF] nih.gov,https://ehp.niehs.nih.gov/doi/abs/10.1289/EHP203,Academic Journal,"… We found some evidence that the heat action plan implemented in Montreal in 2004 
contributed to reduce mortality overall on hot days between 2004 and 2007. Furthermore, we …",,0,0,0,0,0,0,0,0,0,0,0
"KL Ebi - Environmental Research Letters, 2019 - iopscience.iop.org",Effective heat action plans: research to interventions,"KL Ebi - Environmental Research Letters, 2019 - iopscience.iop.org","KL Ebi - Environmental Research Letters, 2019 - iopscience.iop.org",[PDF] iop.orgFull View,https://iopscience.iop.org/article/10.1088/1748-9326/ab5ab0/meta,Academic Journal,"… responsible for designing and implementing heat action plans, to ensure research is 
effectively targeted to further reduce heat-related morbidity and mortality in a changing climate. …",,0,0,0,0,0,0,0,0,0,0,0
"M Guardaro, M Messerschmidt, DM Hondula… - Cities, 2020 - Elsevier",Building community heat action plans story by story: A three neighborhood case study,"M Guardaro, M Messerschmidt, DM Hondula… - Cities, 2020 - Elsevier","M Guardaro, M Messerschmidt, DM Hondula… - Cities, 2020 - Elsevier",[HTML] sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S0264275120312348,Academic Journal,"… Heat action plan compilation … Using data collected during the workshops, heat action 
plans were developed for each community by community engagement leaders with input from …",,0,0,0,0,0,0,0,0,0,0,0
"R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier",Progress in extreme heat management and warning systems: A systematic review of heat-health action plans (1995-2020),"R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier","R Kotharkar, A Ghosh - Sustainable Cities and Society, 2022 - Elsevier",Save Cite Cited by 41 Related articles  ,https://www.sciencedirect.com/science/article/pii/S2210670721007538,Academic Journal,"… This study aims to present a systematic review of extreme heat management and planning 
systems/action plans in the form of existing HAPs, HHAPs and HHWS/HEWS. A plan is …",,0,0,0,0,0,0,0,0,0,0,0
"…, Ahmedabad Heat and Climate Study Group - International journal of …, 2014 - mdpi.com","Development and implementation of South Asia's first heat-health action plan in Ahmedabad (Gujarat, India)","…, Ahmedabad Heat and Climate Study Group - International journal of …, 2014 - mdpi.com","…, Ahmedabad Heat and Climate Study Group - International journal of …, 2014 - mdpi.com",[HTML] mdpi.com,https://www.mdpi.com/1660-4601/11/4/3473,Academic Journal,"… effort include a Heat Action Plan (HAP), and an extreme heat early warning … Heat Action 
Plan The HAP was developed as an administrative tool that would define different levels of heat …","Bangladesh, Brazil, Canada, Switzerland, China, Georgia, India, Oman, Pakistan, United States",1,1,0,0,0,1,1,0,0,0,0
"F Matthies, G Bickler, NC Marín - 2008 - books.google.com",Heat-health action plans: guidance,"F Matthies, G Bickler, NC Marín - 2008 - books.google.com","F Matthies, G Bickler, NC Marín - 2008 - books.google.com",[PDF] who.int,https://books.google.com/books?hl=en&lr=&id=iMZbfQn_4akC&oi=fnd&pg=PA1&dq=heat++action++plan&ots=s1lPXolIvm&sig=BG683-8W0o45sY2L7HhSWF_ZQBA,Academic Journal,"… the summer are suggested in preparation for and during heat-waves as part of a structured 
heat–health action plan. The reduction of heat–health effects will be most effective, however, …",,0,0,0,0,0,0,1,0,0,0,0
"M Parsaee, MM Joybari, PA Mirzaei… - … technology & innovation, 2019 - Elsevier","Urban heat island, urban climate maps and urban development policies and action plans","M Parsaee, MM Joybari, PA Mirzaei… - … technology & innovation, 2019 - Elsevier","M Parsaee, MM Joybari, PA Mirzaei… - … technology & innovation, 2019 - Elsevier",Save Cite Cited by 84 Related articles All 3 versions  ,https://www.sciencedirect.com/science/article/pii/S2352186418304541,Academic Journal,"… of urban heat island (UHI) … action plans (UDP/AP). The paper critically reviews the knowledge 
of the UHI and UCMs to identify the major shortcomings in the production of action plans. …",,0,0,0,0,0,0,0,0,0,0,0
"T Benmarhnia, S Alexander, K Price… - Critical Public …, 2018 - Taylor & Francis",The heterogeneity of vulnerability in public health: a heat wave action plan as a case study,"T Benmarhnia, S Alexander, K Price… - Critical Public …, 2018 - Taylor & Francis","T Benmarhnia, S Alexander, K Price… - Critical Public …, 2018 - Taylor & Francis",Save Cite Cited by 10 Related articles All 2 versions  ,https://www.tandfonline.com/doi/abs/10.1080/09581596.2017.1322176,Academic Journal,"… in the context of a heat action plan in Montreal. We found … heat action plan measures and 
their perspectives regarding the appropriateness of specific measures in the heat action plan. …",,0,0,0,0,0,0,0,0,0,0,0
"A Casanueva, A Burgstall, S Kotlarski… - … and public health, 2019 - mdpi.com",Overview of existing heat-health warning systems in Europe,"A Casanueva, A Burgstall, S Kotlarski… - … and public health, 2019 - mdpi.com","A Casanueva, A Burgstall, S Kotlarski… - … and public health, 2019 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/16/15/2657,Academic Journal,"… European heat-health warning systems and heat-health action … heat-health warning systems, 
such as the one currently under development in the framework of the Horizon 2020 HEAT-…","Austria, Australia, Belgium, Belarus, Canada, Switzerland, Germany, Denmark, Spain, France, Georgia, Greece, Hong Kong, Hungary, India, Italy, North Macedonia, Niger, Netherlands, Oman, Peru, Portugal, Romania, Sweden, Slovenia, United States",1,1,0,0,0,0,1,0,0,0,0
"M Loughnan, N Nicholls… - International Journal of …, 2012 - downloads.hindawi.com",Mapping heat health risks in urban areas,"M Loughnan, N Nicholls… - International Journal of …, 2012 - downloads.hindawi.com","M Loughnan, N Nicholls… - International Journal of …, 2012 - downloads.hindawi.com",[PDF] hindawi.com,https://downloads.hindawi.com/archive/2012/518687.pdf,Academic Journal,"… , demographic, and health-related risk factors for heat stress. The spatial variations in … 
heat-related health outcomes in urban Melbourne. The index was weighted using measured health …","Cuba, Iraq, Japan, Togo",0,0,0,0,0,0,0,0,0,0,0
"RS Kovats, S Hajat - Annu. Rev. Public Health, 2008 - annualreviews.org",Heat stress and public health: a critical review,"RS Kovats, S Hajat - Annu. Rev. Public Health, 2008 - annualreviews.org","RS Kovats, S Hajat - Annu. Rev. Public Health, 2008 - annualreviews.org",[HTML] annualreviews.org,https://www.annualreviews.org/doi/abs/10.1146/annurev.publhealth.29.020907.090843,Academic Journal,"… Heat health protection strategies require further research to identify those that are truly 
effective in reducing mortality due to heat waves. The limited epidemiological evidence suggests …",,0,0,0,0,0,0,0,0,0,0,0
"J Yardley, RJ Sigal, GP Kenny - Global Environmental Change, 2011 - Elsevier",Heat health planning: The importance of social and community factors,"J Yardley, RJ Sigal, GP Kenny - Global Environmental Change, 2011 - Elsevier","J Yardley, RJ Sigal, GP Kenny - Global Environmental Change, 2011 - Elsevier",[PDF] itkesmusidrap.ac.id,https://www.sciencedirect.com/science/article/pii/S0959378010001135,Academic Journal,"… affect heat-related morbidity and mortality in order to identify shortfalls in current heat health 
… affecting the risk of heat-related illness and mortality, these are rarely, if ever, identified as …",,0,0,0,0,0,0,0,0,0,0,0
"J Tan, LS Kalkstein, J Huang, S Lin, H Yin… - International Journal of …, 2004 - Springer",An operational heat/health warning system in Shanghai,"J Tan, LS Kalkstein, J Huang, S Lin, H Yin… - International Journal of …, 2004 - Springer","J Tan, LS Kalkstein, J Huang, S Lin, H Yin… - International Journal of …, 2004 - Springer",[PDF] udel.edu,https://link.springer.com/article/10.1007/s00484-003-0193-z,Academic Journal,"… areas, and it is our belief that an operational heat/health watch/warning system can be used 
to save lives and lessen the negative impact of heat waves. The watch/warning systems are …","Switzerland, China, Japan, Kenya",0,1,0,0,0,0,0,0,0,0,0
