country,title,authors,abstract
Ireland,Preventative strategies and interventions to improve outcomes during heatwaves.,"Michelle Brennan, Paula M O'Shea, Eamon C Mulkerrin","Extreme weather events including recently experienced prolonged heatwaves are predicted to increase in frequency and intensity as a result of climate change. Vulnerable groups, and particularly older persons, are at increased risk of heat-related illness and mortality. Multimodal interventions that incorporate community, primary and secondary care programmes are required. Social programmes such as early warning systems, regional heat plans and community-led initiatives that specifically target the isolated, dependent older person are protective. Establishing clear and effective communication on health promotion and preventative measures is the key. Energy-efficient building design and eco-city planning are vital to reduce the impact of heatwaves at both a population and individual level. Anticipatory strategies should be adopted to ensure ample access to fluids, target barriers to increase oral intake and allow early identification of intercurrent illness, along with regular medication reviews. Prompt management of risk factors for the development of heat-related illness and treatment of complications such as heat stroke and cardiovascular events are keys to reducing the negative health impact of extreme heat in at-risk populations. Morbidity and mortality in heatwaves should be preventable. Evidence-based interventions are available to mitigate and prevent the negative health impact of extreme heat and should be implemented in all residential settings."
Poland,Not found,Not found,Not found
Nicaragua,Not found,Not found,Not found
Brazil,The association between heatwaves and risk of hospitalization in Brazil: A nationwide time series study between 2000 and 2015.,"Qi Zhao, Shanshan Li, Micheline S Z S Coelho, Paulo H N Saldiva, Kejia Hu, Rachel R Huxley, Michael J Abramson, Yuming Guo","To our knowledge, no study has assessed the association between heatwaves and risk of hospitalization and how it may change over time in Brazil. We quantified the heatwave-hospitalization association in Brazil during 2000-2015."
Kuwait,Not found,Not found,Not found
Ireland,Preventative strategies and interventions to improve outcomes during heatwaves.,"Michelle Brennan, Paula M O'Shea, Eamon C Mulkerrin","Extreme weather events including recently experienced prolonged heatwaves are predicted to increase in frequency and intensity as a result of climate change. Vulnerable groups, and particularly older persons, are at increased risk of heat-related illness and mortality. Multimodal interventions that incorporate community, primary and secondary care programmes are required. Social programmes such as early warning systems, regional heat plans and community-led initiatives that specifically target the isolated, dependent older person are protective. Establishing clear and effective communication on health promotion and preventative measures is the key. Energy-efficient building design and eco-city planning are vital to reduce the impact of heatwaves at both a population and individual level. Anticipatory strategies should be adopted to ensure ample access to fluids, target barriers to increase oral intake and allow early identification of intercurrent illness, along with regular medication reviews. Prompt management of risk factors for the development of heat-related illness and treatment of complications such as heat stroke and cardiovascular events are keys to reducing the negative health impact of extreme heat in at-risk populations. Morbidity and mortality in heatwaves should be preventable. Evidence-based interventions are available to mitigate and prevent the negative health impact of extreme heat and should be implemented in all residential settings."
Poland,Not found,Not found,Not found
Pakistan,Not found,Not found,Not found
Nicaragua,Not found,Not found,Not found
Brazil,The association between heatwaves and risk of hospitalization in Brazil: A nationwide time series study between 2000 and 2015.,"Qi Zhao, Shanshan Li, Micheline S Z S Coelho, Paulo H N Saldiva, Kejia Hu, Rachel R Huxley, Michael J Abramson, Yuming Guo","To our knowledge, no study has assessed the association between heatwaves and risk of hospitalization and how it may change over time in Brazil. We quantified the heatwave-hospitalization association in Brazil during 2000-2015."
Kuwait,Not found,Not found,Not found
Ireland,Preventative strategies and interventions to improve outcomes during heatwaves.,"Michelle Brennan, Paula M O'Shea, Eamon C Mulkerrin","Extreme weather events including recently experienced prolonged heatwaves are predicted to increase in frequency and intensity as a result of climate change. Vulnerable groups, and particularly older persons, are at increased risk of heat-related illness and mortality. Multimodal interventions that incorporate community, primary and secondary care programmes are required. Social programmes such as early warning systems, regional heat plans and community-led initiatives that specifically target the isolated, dependent older person are protective. Establishing clear and effective communication on health promotion and preventative measures is the key. Energy-efficient building design and eco-city planning are vital to reduce the impact of heatwaves at both a population and individual level. Anticipatory strategies should be adopted to ensure ample access to fluids, target barriers to increase oral intake and allow early identification of intercurrent illness, along with regular medication reviews. Prompt management of risk factors for the development of heat-related illness and treatment of complications such as heat stroke and cardiovascular events are keys to reducing the negative health impact of extreme heat in at-risk populations. Morbidity and mortality in heatwaves should be preventable. Evidence-based interventions are available to mitigate and prevent the negative health impact of extreme heat and should be implemented in all residential settings."
Poland,Not found,Not found,Not found
Pakistan,Not found,Not found,Not found
Bolivia (Plurinational State of),Not found,Not found,Not found
Nicaragua,Not found,Not found,Not found
Brazil,The association between heatwaves and risk of hospitalization in Brazil: A nationwide time series study between 2000 and 2015.,"Qi Zhao, Shanshan Li, Micheline S Z S Coelho, Paulo H N Saldiva, Kejia Hu, Rachel R Huxley, Michael J Abramson, Yuming Guo","To our knowledge, no study has assessed the association between heatwaves and risk of hospitalization and how it may change over time in Brazil. We quantified the heatwave-hospitalization association in Brazil during 2000-2015."
Kuwait,Not found,Not found,Not found
Ireland,Preventative strategies and interventions to improve outcomes during heatwaves.,"Michelle Brennan, Paula M O'Shea, Eamon C Mulkerrin","Extreme weather events including recently experienced prolonged heatwaves are predicted to increase in frequency and intensity as a result of climate change. Vulnerable groups, and particularly older persons, are at increased risk of heat-related illness and mortality. Multimodal interventions that incorporate community, primary and secondary care programmes are required. Social programmes such as early warning systems, regional heat plans and community-led initiatives that specifically target the isolated, dependent older person are protective. Establishing clear and effective communication on health promotion and preventative measures is the key. Energy-efficient building design and eco-city planning are vital to reduce the impact of heatwaves at both a population and individual level. Anticipatory strategies should be adopted to ensure ample access to fluids, target barriers to increase oral intake and allow early identification of intercurrent illness, along with regular medication reviews. Prompt management of risk factors for the development of heat-related illness and treatment of complications such as heat stroke and cardiovascular events are keys to reducing the negative health impact of extreme heat in at-risk populations. Morbidity and mortality in heatwaves should be preventable. Evidence-based interventions are available to mitigate and prevent the negative health impact of extreme heat and should be implemented in all residential settings."
Poland,Not found,Not found,Not found
Pakistan,Not found,Not found,Not found
Bolivia (Plurinational State of),Not found,Not found,Not found
North Macedonia,Not found,Not found,Not found
Nicaragua,Not found,Not found,Not found
Brazil,The association between heatwaves and risk of hospitalization in Brazil: A nationwide time series study between 2000 and 2015.,"Qi Zhao, Shanshan Li, Micheline S Z S Coelho, Paulo H N Saldiva, Kejia Hu, Rachel R Huxley, Michael J Abramson, Yuming Guo","To our knowledge, no study has assessed the association between heatwaves and risk of hospitalization and how it may change over time in Brazil. We quantified the heatwave-hospitalization association in Brazil during 2000-2015."
Kuwait,Not found,Not found,Not found
Ireland,Preventative strategies and interventions to improve outcomes during heatwaves.,"Michelle Brennan, Paula M O'Shea, Eamon C Mulkerrin","Extreme weather events including recently experienced prolonged heatwaves are predicted to increase in frequency and intensity as a result of climate change. Vulnerable groups, and particularly older persons, are at increased risk of heat-related illness and mortality. Multimodal interventions that incorporate community, primary and secondary care programmes are required. Social programmes such as early warning systems, regional heat plans and community-led initiatives that specifically target the isolated, dependent older person are protective. Establishing clear and effective communication on health promotion and preventative measures is the key. Energy-efficient building design and eco-city planning are vital to reduce the impact of heatwaves at both a population and individual level. Anticipatory strategies should be adopted to ensure ample access to fluids, target barriers to increase oral intake and allow early identification of intercurrent illness, along with regular medication reviews. Prompt management of risk factors for the development of heat-related illness and treatment of complications such as heat stroke and cardiovascular events are keys to reducing the negative health impact of extreme heat in at-risk populations. Morbidity and mortality in heatwaves should be preventable. Evidence-based interventions are available to mitigate and prevent the negative health impact of extreme heat and should be implemented in all residential settings."
Poland,Not found,Not found,Not found
Pakistan,Not found,Not found,Not found
Bolivia (Plurinational State of),Not found,Not found,Not found
North Macedonia,Not found,Not found,Not found
Tuvalu,Not found,Not found,Not found
Morocco,Not found,Not found,Not found
Morocco,Not found,Not found,Not found
Kiribati,Not found,Not found,Not found
Morocco,Not found,Not found,Not found
Kiribati,Not found,Not found,Not found
Seychelles,Not found,Not found,Not found
Morocco,Not found,Not found,Not found
Kiribati,Not found,Not found,Not found
Seychelles,Not found,Not found,Not found
Uzbekistan,Not found,Not found,Not found
Morocco,Not found,Not found,Not found
Kiribati,Not found,Not found,Not found
Seychelles,Not found,Not found,Not found
Uzbekistan,Not found,Not found,Not found
Egypt,Not found,Not found,Not found
Morocco,Not found,Not found,Not found
Kiribati,Not found,Not found,Not found
Seychelles,Not found,Not found,Not found
Uzbekistan,Not found,Not found,Not found
Egypt,Not found,Not found,Not found
Curaçao and Sint Maarten,Not found,Not found,Not found
Morocco,Not found,Not found,Not found
Kiribati,Not found,Not found,Not found
Seychelles,Not found,Not found,Not found
Uzbekistan,Not found,Not found,Not found
Egypt,Not found,Not found,Not found
Curaçao and Sint Maarten,Not found,Not found,Not found
Democratic People's Republic of Korea,Not found,Not found,Not found
Morocco,Not found,Not found,Not found
Kiribati,Not found,Not found,Not found
Seychelles,Not found,Not found,Not found
Uzbekistan,Not found,Not found,Not found
Egypt,Not found,Not found,Not found
Curaçao and Sint Maarten,Not found,Not found,Not found
Democratic People's Republic of Korea,Not found,Not found,Not found
Chad,Not found,Not found,Not found
Morocco,Not found,Not found,Not found
Kiribati,Not found,Not found,Not found
Seychelles,Not found,Not found,Not found
Uzbekistan,Not found,Not found,Not found
Egypt,Not found,Not found,Not found
Curaçao and Sint Maarten,Not found,Not found,Not found
Democratic People's Republic of Korea,Not found,Not found,Not found
Chad,Not found,Not found,Not found
Azerbaijan,Not found,Not found,Not found
Chile,Not found,Not found,Not found
Chile,Not found,Not found,Not found
Zambia,Not found,Not found,Not found
Chile,Not found,Not found,Not found
Zambia,Not found,Not found,Not found
British Caribbean Territories - Anguilla,Not found,Not found,Not found
Chile,Not found,Not found,Not found
Zambia,Not found,Not found,Not found
British Caribbean Territories - Anguilla,Not found,Not found,Not found
Latvia,Not found,Not found,Not found
Chile,Not found,Not found,Not found
Zambia,Not found,Not found,Not found
British Caribbean Territories - Anguilla,Not found,Not found,Not found
Latvia,Not found,Not found,Not found
Panama,Not found,Not found,Not found
Chile,Not found,Not found,Not found
Zambia,Not found,Not found,Not found
British Caribbean Territories - Anguilla,Not found,Not found,Not found
Latvia,Not found,Not found,Not found
Panama,Not found,Not found,Not found
Ukraine,Not found,Not found,Not found
Chile,Not found,Not found,Not found
Zambia,Not found,Not found,Not found
British Caribbean Territories - Anguilla,Not found,Not found,Not found
Latvia,Not found,Not found,Not found
Panama,Not found,Not found,Not found
Ukraine,Not found,Not found,Not found
"Macao, China",Not found,Not found,Not found
Chile,Not found,Not found,Not found
Zambia,Not found,Not found,Not found
British Caribbean Territories - Anguilla,Not found,Not found,Not found
Latvia,Not found,Not found,Not found
Panama,Not found,Not found,Not found
Ukraine,Not found,Not found,Not found
"Macao, China",Not found,Not found,Not found
Antigua and Barbuda,Not found,Not found,Not found
Chile,Not found,Not found,Not found
Zambia,Not found,Not found,Not found
British Caribbean Territories - Anguilla,Not found,Not found,Not found
Latvia,Not found,Not found,Not found
Panama,Not found,Not found,Not found
Ukraine,Not found,Not found,Not found
"Macao, China",Not found,Not found,Not found
Antigua and Barbuda,Not found,Not found,Not found
Saint Lucia,Not found,Not found,Not found
Cameroon,Not found,Not found,Not found
Cameroon,Not found,Not found,Not found
Croatia,Not found,Not found,Not found
Cameroon,Not found,Not found,Not found
Croatia,Not found,Not found,Not found
"Hong Kong, China",Not found,Not found,Not found
Cameroon,Not found,Not found,Not found
Croatia,Not found,Not found,Not found
"Hong Kong, China",Not found,Not found,Not found
British Caribbean Territories,Not found,Not found,Not found
Cameroon,Not found,Not found,Not found
Croatia,Not found,Not found,Not found
"Hong Kong, China",Not found,Not found,Not found
British Caribbean Territories,Not found,Not found,Not found
Malta,Not found,Not found,Not found
Cameroon,Not found,Not found,Not found
Croatia,Not found,Not found,Not found
"Hong Kong, China",Not found,Not found,Not found
British Caribbean Territories,Not found,Not found,Not found
Malta,Not found,Not found,Not found
Kazakhstan,Not found,Not found,Not found
Cameroon,Not found,Not found,Not found
Croatia,Not found,Not found,Not found
"Hong Kong, China",Not found,Not found,Not found
British Caribbean Territories,Not found,Not found,Not found
Malta,Not found,Not found,Not found
Kazakhstan,Not found,Not found,Not found
United States of America,Extreme Heat and Adverse Cardiovascular Outcomes in Australia and New Zealand: What Do We Know?,"Georgia K Chaseling, Nathan B Morris, Nicholas Ravanelli","Extreme heat events are a leading natural hazard risk to human health. Under all future climate change models, extreme heat events will continue to increase in frequency, duration, and intensity. Evidence from previous extreme heat events across the globe demonstrates that adverse cardiovascular events are the leading cause of morbidity and mortality, particularly amongst the elderly and those with pre-existing cardiovascular disease. However, less is understood about the adverse effects of extreme heat amongst specific cardiovascular diseases (i.e., heart failure, dysrhythmias) and demographics (sex, ethnicity, age) within Australia and New Zealand. Furthermore, although Australia has implemented regional and state heat warning systems, most personal heat-health protective advice available in public health policy documents is either insufficient, not grounded in scientific evidence, and/or does not consider clinical factors such as age or co-morbidities. Dissemination of evidence-based recommendations and enhancing community resilience to extreme heat disasters within Australia and New Zealand should be an area of critical focus to reduce the burden and negative health effects associated with extreme heat. This narrative review will focus on five key areas in relation to extreme heat events within Australia and New Zealand: 1) the potential physiological mechanisms that cause adverse cardiovascular outcomes during extreme heat events; 2) how big is the problem within Australia and New Zealand?; 3) what the heat-health response plans are; 4) research knowledge and translation; and, 5) knowledge gaps and areas for future research."
Cameroon,Not found,Not found,Not found
Croatia,Not found,Not found,Not found
"Hong Kong, China",Not found,Not found,Not found
British Caribbean Territories,Not found,Not found,Not found
Malta,Not found,Not found,Not found
Kazakhstan,Not found,Not found,Not found
United States of America,Extreme Heat and Adverse Cardiovascular Outcomes in Australia and New Zealand: What Do We Know?,"Georgia K Chaseling, Nathan B Morris, Nicholas Ravanelli","Extreme heat events are a leading natural hazard risk to human health. Under all future climate change models, extreme heat events will continue to increase in frequency, duration, and intensity. Evidence from previous extreme heat events across the globe demonstrates that adverse cardiovascular events are the leading cause of morbidity and mortality, particularly amongst the elderly and those with pre-existing cardiovascular disease. However, less is understood about the adverse effects of extreme heat amongst specific cardiovascular diseases (i.e., heart failure, dysrhythmias) and demographics (sex, ethnicity, age) within Australia and New Zealand. Furthermore, although Australia has implemented regional and state heat warning systems, most personal heat-health protective advice available in public health policy documents is either insufficient, not grounded in scientific evidence, and/or does not consider clinical factors such as age or co-morbidities. Dissemination of evidence-based recommendations and enhancing community resilience to extreme heat disasters within Australia and New Zealand should be an area of critical focus to reduce the burden and negative health effects associated with extreme heat. This narrative review will focus on five key areas in relation to extreme heat events within Australia and New Zealand: 1) the potential physiological mechanisms that cause adverse cardiovascular outcomes during extreme heat events; 2) how big is the problem within Australia and New Zealand?; 3) what the heat-health response plans are; 4) research knowledge and translation; and, 5) knowledge gaps and areas for future research."
Norway,Does air pollution modify temperature-related mortality? A systematic review and meta-analysis.,"Xin Hu, Wenxing Han, Yuxin Wang, Kristin Aunan, Xiaochuan Pan, Jing Huang, Guoxing Li","There is an increasing interest in understanding whether air pollutants modify the quantitative relationships between temperature and health outcomes. The results of available studies were, however, inconsistent. This study aims to sum up the current evidence and provide a comprehensive understanding of this topic."
Norway,The warm summer of 2018 - increased mortality among older people?,"Anette Hylen Ranhoff, Hans Olav Hygen, Francesco Di Ruscio, Shilpa Rao, Bjørn Heine Strand",Heatwaves in Europe and the USA have been shown to cause excess mortality among older persons. The summer of 2018 was unusually hot in south-eastern Norway. The purpose of this study was to investigate whether more older persons died that summer compared with the average for the previous ten summers.
Cameroon,Not found,Not found,Not found
Croatia,Not found,Not found,Not found
"Hong Kong, China",Not found,Not found,Not found
British Caribbean Territories,Not found,Not found,Not found
Malta,Not found,Not found,Not found
Kazakhstan,Not found,Not found,Not found
United States of America,Extreme Heat and Adverse Cardiovascular Outcomes in Australia and New Zealand: What Do We Know?,"Georgia K Chaseling, Nathan B Morris, Nicholas Ravanelli","Extreme heat events are a leading natural hazard risk to human health. Under all future climate change models, extreme heat events will continue to increase in frequency, duration, and intensity. Evidence from previous extreme heat events across the globe demonstrates that adverse cardiovascular events are the leading cause of morbidity and mortality, particularly amongst the elderly and those with pre-existing cardiovascular disease. However, less is understood about the adverse effects of extreme heat amongst specific cardiovascular diseases (i.e., heart failure, dysrhythmias) and demographics (sex, ethnicity, age) within Australia and New Zealand. Furthermore, although Australia has implemented regional and state heat warning systems, most personal heat-health protective advice available in public health policy documents is either insufficient, not grounded in scientific evidence, and/or does not consider clinical factors such as age or co-morbidities. Dissemination of evidence-based recommendations and enhancing community resilience to extreme heat disasters within Australia and New Zealand should be an area of critical focus to reduce the burden and negative health effects associated with extreme heat. This narrative review will focus on five key areas in relation to extreme heat events within Australia and New Zealand: 1) the potential physiological mechanisms that cause adverse cardiovascular outcomes during extreme heat events; 2) how big is the problem within Australia and New Zealand?; 3) what the heat-health response plans are; 4) research knowledge and translation; and, 5) knowledge gaps and areas for future research."
Norway,Does air pollution modify temperature-related mortality? A systematic review and meta-analysis.,"Xin Hu, Wenxing Han, Yuxin Wang, Kristin Aunan, Xiaochuan Pan, Jing Huang, Guoxing Li","There is an increasing interest in understanding whether air pollutants modify the quantitative relationships between temperature and health outcomes. The results of available studies were, however, inconsistent. This study aims to sum up the current evidence and provide a comprehensive understanding of this topic."
Norway,The warm summer of 2018 - increased mortality among older people?,"Anette Hylen Ranhoff, Hans Olav Hygen, Francesco Di Ruscio, Shilpa Rao, Bjørn Heine Strand",Heatwaves in Europe and the USA have been shown to cause excess mortality among older persons. The summer of 2018 was unusually hot in south-eastern Norway. The purpose of this study was to investigate whether more older persons died that summer compared with the average for the previous ten summers.
Madagascar,Not found,Not found,Not found
Georgia,Extreme Heat and Adverse Cardiovascular Outcomes in Australia and New Zealand: What Do We Know?,"Georgia K Chaseling, Nathan B Morris, Nicholas Ravanelli","Extreme heat events are a leading natural hazard risk to human health. Under all future climate change models, extreme heat events will continue to increase in frequency, duration, and intensity. Evidence from previous extreme heat events across the globe demonstrates that adverse cardiovascular events are the leading cause of morbidity and mortality, particularly amongst the elderly and those with pre-existing cardiovascular disease. However, less is understood about the adverse effects of extreme heat amongst specific cardiovascular diseases (i.e., heart failure, dysrhythmias) and demographics (sex, ethnicity, age) within Australia and New Zealand. Furthermore, although Australia has implemented regional and state heat warning systems, most personal heat-health protective advice available in public health policy documents is either insufficient, not grounded in scientific evidence, and/or does not consider clinical factors such as age or co-morbidities. Dissemination of evidence-based recommendations and enhancing community resilience to extreme heat disasters within Australia and New Zealand should be an area of critical focus to reduce the burden and negative health effects associated with extreme heat. This narrative review will focus on five key areas in relation to extreme heat events within Australia and New Zealand: 1) the potential physiological mechanisms that cause adverse cardiovascular outcomes during extreme heat events; 2) how big is the problem within Australia and New Zealand?; 3) what the heat-health response plans are; 4) research knowledge and translation; and, 5) knowledge gaps and areas for future research."
Georgia,Extreme Heat and Adverse Cardiovascular Outcomes in Australia and New Zealand: What Do We Know?,"Georgia K Chaseling, Nathan B Morris, Nicholas Ravanelli","Extreme heat events are a leading natural hazard risk to human health. Under all future climate change models, extreme heat events will continue to increase in frequency, duration, and intensity. Evidence from previous extreme heat events across the globe demonstrates that adverse cardiovascular events are the leading cause of morbidity and mortality, particularly amongst the elderly and those with pre-existing cardiovascular disease. However, less is understood about the adverse effects of extreme heat amongst specific cardiovascular diseases (i.e., heart failure, dysrhythmias) and demographics (sex, ethnicity, age) within Australia and New Zealand. Furthermore, although Australia has implemented regional and state heat warning systems, most personal heat-health protective advice available in public health policy documents is either insufficient, not grounded in scientific evidence, and/or does not consider clinical factors such as age or co-morbidities. Dissemination of evidence-based recommendations and enhancing community resilience to extreme heat disasters within Australia and New Zealand should be an area of critical focus to reduce the burden and negative health effects associated with extreme heat. This narrative review will focus on five key areas in relation to extreme heat events within Australia and New Zealand: 1) the potential physiological mechanisms that cause adverse cardiovascular outcomes during extreme heat events; 2) how big is the problem within Australia and New Zealand?; 3) what the heat-health response plans are; 4) research knowledge and translation; and, 5) knowledge gaps and areas for future research."
Thailand,"Excess seawater nutrients, enlarged algal symbiont densities and bleaching sensitive reef locations: 2. A regional-scale predictive model for the Great Barrier Reef, Australia.","Scott A Wooldridge, Scott F Heron, Jon E Brodie, Terence J Done, Itsara Masiri, Saskia Hinrichs","A spatial risk assessment model is developed for the Great Barrier Reef (GBR, Australia) that helps identify reef locations at higher or lower risk of coral bleaching in summer heat-wave conditions. The model confirms the considerable benefit of discriminating nutrient-enriched areas that contain corals with enlarged (suboptimal) symbiont densities for the purpose of identifying bleaching-sensitive reef locations. The benefit of the new system-level understanding is showcased in terms of: (i) improving early-warning forecasts of summer bleaching risk, (ii) explaining historical bleaching patterns, (iii) testing the bleaching-resistant quality of the current marine protected area (MPA) network (iv) identifying routinely monitored coral health attributes, such as the tissue energy reserves and skeletal growth characteristics (viz. density and extension rates) that correlate with bleaching resistant reef locations, and (v) targeting region-specific water quality improvement strategies that may increase reef-scale coral health and bleaching resistance."
Georgia,Extreme Heat and Adverse Cardiovascular Outcomes in Australia and New Zealand: What Do We Know?,"Georgia K Chaseling, Nathan B Morris, Nicholas Ravanelli","Extreme heat events are a leading natural hazard risk to human health. Under all future climate change models, extreme heat events will continue to increase in frequency, duration, and intensity. Evidence from previous extreme heat events across the globe demonstrates that adverse cardiovascular events are the leading cause of morbidity and mortality, particularly amongst the elderly and those with pre-existing cardiovascular disease. However, less is understood about the adverse effects of extreme heat amongst specific cardiovascular diseases (i.e., heart failure, dysrhythmias) and demographics (sex, ethnicity, age) within Australia and New Zealand. Furthermore, although Australia has implemented regional and state heat warning systems, most personal heat-health protective advice available in public health policy documents is either insufficient, not grounded in scientific evidence, and/or does not consider clinical factors such as age or co-morbidities. Dissemination of evidence-based recommendations and enhancing community resilience to extreme heat disasters within Australia and New Zealand should be an area of critical focus to reduce the burden and negative health effects associated with extreme heat. This narrative review will focus on five key areas in relation to extreme heat events within Australia and New Zealand: 1) the potential physiological mechanisms that cause adverse cardiovascular outcomes during extreme heat events; 2) how big is the problem within Australia and New Zealand?; 3) what the heat-health response plans are; 4) research knowledge and translation; and, 5) knowledge gaps and areas for future research."
Thailand,"Excess seawater nutrients, enlarged algal symbiont densities and bleaching sensitive reef locations: 2. A regional-scale predictive model for the Great Barrier Reef, Australia.","Scott A Wooldridge, Scott F Heron, Jon E Brodie, Terence J Done, Itsara Masiri, Saskia Hinrichs","A spatial risk assessment model is developed for the Great Barrier Reef (GBR, Australia) that helps identify reef locations at higher or lower risk of coral bleaching in summer heat-wave conditions. The model confirms the considerable benefit of discriminating nutrient-enriched areas that contain corals with enlarged (suboptimal) symbiont densities for the purpose of identifying bleaching-sensitive reef locations. The benefit of the new system-level understanding is showcased in terms of: (i) improving early-warning forecasts of summer bleaching risk, (ii) explaining historical bleaching patterns, (iii) testing the bleaching-resistant quality of the current marine protected area (MPA) network (iv) identifying routinely monitored coral health attributes, such as the tissue energy reserves and skeletal growth characteristics (viz. density and extension rates) that correlate with bleaching resistant reef locations, and (v) targeting region-specific water quality improvement strategies that may increase reef-scale coral health and bleaching resistance."
Cambodia,Not found,Not found,Not found
